feature_month,product_category,sales_current,orders_current,unique_products_current,avg_price_current,avg_freight_current,avg_product_weight,avg_product_length,avg_product_height,avg_product_width,avg_product_description_length,avg_product_photos_qty,sales_lag_1,sales_lag_2,sales_lag_3,rolling_sales_mean_3,sales_next_month,target_month,month,month_sin,month_cos,year
2016-12-01,furniture_decor,0,0,0,86.68492537313433,18.572985074626867,2122.8358208955224,38.492537313432834,17.507462686567163,26.19402985074627,530.820895522388,2.7611940298507465,0.0,67.0,2.0,22.333333333333332,182.0,2017-01-01,12,-2.4492935982947064e-16,1.0,2016
2016-12-01,health_beauty,0,0,0,94.84395833333333,19.601458333333333,2110.0208333333335,23.645833333333332,19.5625,19.020833333333332,1361.6041666666667,1.5833333333333333,0.0,48.0,3.0,16.0,85.0,2017-01-01,12,-2.4492935982947064e-16,1.0,2016
2016-12-01,telephony,0,0,0,50.007999999999996,13.39,217.5,18.3,12.1,15.3,550.5,2.2,0.0,10.0,1.0,3.3333333333333335,26.0,2017-01-01,12,-2.4492935982947064e-16,1.0,2016
2017-01-01,air_conditioning,4,3,3,165.925,18.665,3634.75,35.5,36.0,24.25,832.0,2.0,0.0,0.0,10.0,1.3333333333333333,12.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,audio,0,0,0,78.495,13.02,250.0,17.0,7.5,13.5,322.0,5.0,0.0,0.0,2.0,0.0,5.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,auto,34,30,25,153.48617647058822,18.40235294117647,3246.764705882353,36.470588235294116,16.352941176470587,35.294117647058826,717.2941176470588,1.9705882352941178,0.0,0.0,12.0,11.333333333333334,86.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,baby,41,32,27,156.04560975609755,18.099024390243905,3412.075,29.55,20.725,27.075,1055.9268292682927,2.1951219512195124,0.0,0.0,14.0,13.666666666666666,34.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,bed_bath_table,48,45,37,82.50333333333334,17.856458333333332,1742.8125,39.041666666666664,14.166666666666666,34.479166666666664,507.2916666666667,1.3958333333333333,0.0,0.0,8.0,16.0,165.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,books_general_interest,2,2,2,117.445,18.33,1566.5,21.0,11.5,18.5,1123.5,3.5,0.0,0.0,1.0,0.6666666666666666,8.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,books_technical,0,0,0,267.0,32.84,1900.0,30.0,6.0,30.0,2228.0,1.0,0.0,0.0,1.0,0.0,1.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,computers_accessories,31,24,21,126.58516129032259,14.62774193548387,630.6451612903226,26.741935483870968,8.806451612903226,19.64516129032258,811.741935483871,2.161290322580645,0.0,0.0,21.0,10.333333333333334,106.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,consoles_games,23,21,12,258.8782608695652,19.101304347826087,420.3478260869565,20.782608695652176,12.217391304347826,16.565217391304348,1079.695652173913,1.7391304347826086,0.0,0.0,10.0,7.666666666666667,18.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,cool_stuff,40,32,27,194.62175,23.64975,3094.475,29.625,23.35,23.075,1385.025,2.575,0.0,0.0,8.0,13.333333333333334,70.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,diapers_and_hygiene,0,0,0,134.9,16.09,700.0,35.0,7.0,29.0,1151.0,8.0,0.0,0.0,1.0,0.0,0.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,electronics,11,11,6,56.09090909090909,14.13,949.0,24.363636363636363,12.272727272727273,21.0,839.4545454545455,2.272727272727273,0.0,0.0,2.0,3.6666666666666665,19.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,fashio_female_clothing,2,2,2,38.65,12.755,450.0,16.0,2.0,11.0,923.0,2.0,0.0,0.0,1.0,0.6666666666666666,4.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,fashion_bags_accessories,35,30,26,47.77057142857143,13.275428571428572,268.57142857142856,18.742857142857144,7.114285714285714,15.457142857142857,868.3428571428572,4.4,1.0,0.0,9.0,12.0,39.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,fashion_male_clothing,1,1,1,126.9,32.21,900.0,45.0,10.0,35.0,622.0,2.0,0.0,0.0,1.0,0.3333333333333333,7.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,fashion_shoes,1,1,1,34.9,14.11,500.0,29.0,7.0,16.0,303.0,12.0,0.0,0.0,1.0,0.3333333333333333,3.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,fixed_telephony,22,19,7,30.778181818181817,13.292727272727273,234.4090909090909,17.136363636363637,6.7727272727272725,13.727272727272727,657.7727272727273,3.1363636363636362,0.0,0.0,5.0,7.333333333333333,22.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,food,2,2,2,21.41,18.0,1075.0,16.0,16.0,14.5,911.0,1.0,0.0,0.0,1.0,0.6666666666666666,9.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,furniture_decor,182,137,129,74.29291208791209,16.156263736263735,1859.7307692307693,36.082417582417584,13.313186813186814,24.626373626373628,691.5769230769231,1.8681318681318682,0.0,0.0,67.0,60.666666666666664,266.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,garden_tools,58,40,26,140.56465517241378,18.490000000000002,3284.189655172414,34.91379310344828,28.82758620689655,24.586206896551722,1156.2241379310344,2.8275862068965516,0.0,0.0,5.0,19.333333333333332,72.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,health_beauty,85,82,43,147.78023529411763,17.393176470588237,1123.3294117647058,29.352941176470587,12.223529411764705,21.541176470588237,1347.4941176470588,2.411764705882353,0.0,0.0,48.0,28.333333333333332,166.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,housewares,28,21,21,100.985,15.792142857142858,3035.3928571428573,36.285714285714285,21.5,24.214285714285715,695.7857142857143,2.642857142857143,0.0,0.0,12.0,9.333333333333334,81.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,industry_commerce_and_business,0,0,0,89.9,18.490000000000002,2138.0,77.0,26.0,18.0,563.0,2.0,0.0,0.0,4.0,0.0,1.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,market_place,6,6,5,74.50666666666666,16.863333333333333,354.1666666666667,23.333333333333332,9.333333333333334,18.333333333333332,1615.6666666666667,1.3333333333333333,0.0,0.0,13.0,2.0,22.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,office_furniture,10,7,5,144.435,37.339,12475.0,50.3,50.8,35.6,750.6,1.7,0.0,0.0,6.0,3.3333333333333335,63.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,perfumery,34,29,13,150.3705882352941,15.923823529411763,684.8823529411765,21.529411764705884,16.794117647058822,17.41176470588235,499.3529411764706,1.3529411764705883,0.0,0.0,33.0,11.333333333333334,51.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,pet_shop,15,13,13,64.47466666666666,14.351333333333335,1843.6,24.8,12.466666666666667,21.2,1133.5333333333333,2.533333333333333,0.0,0.0,4.0,5.0,40.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
2017-01-01,sports_leisure,80,62,50,121.47025000000001,21.620625,3260.0125,34.225,21.4375,27.25,939.1,2.2875,0.0,0.0,19.0,26.666666666666668,156.0,2017-02-01,1,0.49999999999999994,0.8660254037844387,2017
